,text
0,"Picked up my new mountain bike, got my ass kicked by a small ride.. Going to take a while to get back into riding shape "
1,@brendamantz That was so sweet. Thank you. We'd have a blast as neighbors! 
2,saving money mayn !!! 
3,@LlinosD I want you to come hoommeeee 
4,Their hanging out again 
5,had an awesome bike ride on the roundabout way to work.  #fb
6,"could have done with more sleep, i think im coming down with something. "
7,Voted worst driver  huge!
8,@latermom I loved that Amazing Race.. especially with who went home 
9,@dannygokey luckily we love you for your singing and not your spelling skills  haha
10,A skeptical smile appears on my face when I read my monthly zodiac forecast. Hmm I wonder how much of it really comes true? 
11,so beat from dance ! now watchin wedding crashers with jesse d. 
12,"@seanislegend yeah good point. but i did it the way you showed me. was fine in firefox, but on IE it's off centre "
13,Pretty sure I failed my first actual Phlebotomy test  epic fail.
14,@Kesang one question is zizzo cooked food really edible ? plz be neutral 
15,@CreativeJunkie i don't have internet on my phone either but i can send and receive emails...can you do that? i just tried and it worked 
16,just did a run through of a look 4 my next yt video. my battery was dead so I couldn't just record it 
17,@hauntedcrew AH! Mercury! ME TOO  She has the same birthdate as me and I remember being ecstatic over it XDDD
18,@ShareeVania That way i can see if they got some nasty feet! LOL 
19,": Be nice to nerds. Chances are, you'll end up working for one. "
20,Kamaelia tutorial at Europython - http://tinyurl.com/ol3g6z 
21,I want the new album of the Jonas!!!!!   why the life is so hard???? 
22,@lizakylene his wife is a whore it turns out 
23,#barcampevn09 SEO is quite entertaining  room 113w
24,"@vthorne well if ur only drinking water, its no surprise ur not drunk, silly! "
25,@alexlindsay I second @lvdjgarcia's recommendation of Alton Brown for TWiM... Then have @leolaporte put him on TWiT w/ @therealdvorak. 
26,@Bettyboolet1 because kids are gonna be going on vacation 
27,"@leechunsa No prob, it's okay~ ^^ Yuf, I did.  My sister got a haircut too.  She's now a Jojo fan. lol."
28,@alicequigley yupyupyup  This year's programme is looking mighty fine!
29,i wanna be there for niley 
30,"@jakebowles_ kkk, sorry out if something wrong, the English translator "
31,Sims 3 is officially tomorrow!  I'll get it for both Windows and iPhone 
32,throat hurts. Cleaning my ear then going to bed. Work tomorrow. 
33,having a really crap day 
34,Anyone either go to Griffith Uni Southbank Campus or know people that do? Message me if so for a ... unique opportunity 
35,everyone who went to @jonasbrothers concert last night I HATE YOU &lt;3 expecially eve! 
36,"@DRanged691 Although I guess it was probably Lion's Gate Films, not the creators... oh well "
37,@Mz_SoSo no V right now but I wanna a drink and icecream 
38,yay! @thescript is following 
39,@drright g'morning 
40,@natib I'm glad she's a tough cookie! 
41,CHILL3N THINKING RIGHT N0W!! 
42,can't get this stupid table to stand up right. it keeps falling over. 
43,@mimiej so sad. a mom over here died and then her just born baby died of swine flu  
44,coldplay riding home 
45,is resting.. 4 basketball matches nonstop on only water  = painful and VERY hungry.. I don't feel like going to the charty today 
46,@nialleveritt Don't - people will stop talking to you 
47,@Suzanne_McLeod It's a beautiful day. Contemplating heading down to the beach with a book and a mini picnic. 
48,"britney spears IS THE FIRST 1 TOO HAVE 1MILLION FOLLOWERS ON TWITTER GOOD JOB     1,031,125  Followers"
49,"@pussolini If you haven't, it's really due. Monkey Island rules "
50,Another lonely night? 
51,I have a horrid cold and have lost my voice 
52,fuuuuuuuuck. dropped my phone in the toilet 
53,mornin all time for work  but at least i get to sit inside today spring wrestling season lol its cool im gonna go and do a workout for mia
54,Getting ready and going to workkk...my paycheck went pretty fast  and i have nothing to show for it. blahh w/e
55,"For every weed I pull, it seems like two grow back.  "
56,Had a sandwich went to class now back to work and work for that money baby..lol..t.g.i.f btw  loVe IT.
57,Morning tweeps  (via @LincolnGreen) mornin' guv.
58,@midgit5521 i was wondering where you went. almost everyone's gone now! 
59,@bradgallaway You git :p The hoover is in another room luckily ;) I'll have to get my cat in here to guard me overnight 
60,cant sleep  someone keep me company
61,"hoping these vitamins help, otherwise I gotta go to the doc to see what is really wrong with me "
62,So tired.. On my way to work 
63,@eye_an haha i know right? sad sad days 
64,What a lovely weekend it was 
65,@KimKardashian DO IT!!!!!! I think you can pull it off.. hair grows back..besides..you'd get a lot of publicity!!! 
66,@evilbilly There's breadtop everywhere hey   I have also noticed the appearance of Puffy. Tasty creamy goodness. http://puffy.net.au/
67,I've been sick twice in an hour. I feel horrible  xxx
68,is thinking why does noone reply to me! lol  x
